Risk,Housing_own,Saving accounts,Credit amount,Duration
0,1,0,5951,48
1,1,0,2096,12
1,0,0,7882,42
0,0,0,4870,24
1,1,2,2835,24
1,0,0,6948,36
1,1,3,3059,12
0,1,0,5234,30
0,0,0,1295,12
0,0,0,4308,48
1,1,0,1567,12
0,1,0,1199,24
1,0,0,1403,15
0,1,1,1282,24
0,0,0,12579,24
1,1,2,3430,24
1,1,0,2134,9
1,0,2,2647,6
1,0,0,2241,10
1,1,1,1804,12
1,1,0,1374,6
1,1,0,426,6
1,0,3,409,12
1,1,0,2415,7
0,1,0,6836,60
1,1,3,1913,18
1,1,0,4020,24
1,1,1,5866,18
1,1,0,1474,12
0,1,0,4746,45
1,0,0,6110,48
0,1,0,2100,18
1,1,0,1225,10
1,1,0,458,9
1,1,2,2333,30
1,1,2,1158,12
1,1,0,6204,18
1,0,1,6187,30
0,0,0,6143,48
1,1,0,1393,11
1,1,2,2299,36
1,0,2,1352,6
1,1,0,7228,11
1,1,1,2073,12
1,1,0,5965,27
1,1,0,1262,12
0,0,0,2225,36
1,1,0,9566,36
1,1,0,1961,18
0,0,0,6229,36
1,1,0,1391,9
0,0,0,1953,36
0,1,0,14421,48
1,1,0,3181,24
1,1,0,2171,12
1,1,3,1007,12
0,0,0,1819,36
1,1,0,8133,36
1,0,0,1164,8
1,1,0,5954,42
1,0,0,1526,12
0,1,0,3965,42
1,1,0,4771,11
1,1,0,3832,30
1,1,2,1213,15
1,0,1,1568,18
1,1,0,1755,24
1,1,0,2315,10
1,1,0,1412,12
1,1,0,1295,18
0,0,1,12612,36
1,1,1,2249,18
0,1,0,1108,12
1,1,0,618,12
1,1,0,1409,12
1,1,3,1318,12
0,0,0,15945,54
1,1,1,2622,18
1,1,0,2337,36
1,0,1,1469,24
1,0,0,2323,36
1,1,0,932,6
1,0,0,1919,9
0,1,0,11938,24
0,1,0,6458,18
1,1,0,6078,12
1,1,2,1410,14
1,1,1,1449,6
1,0,0,392,15
1,0,0,6260,18
0,1,0,7855,36
1,1,2,1680,12
0,1,2,4281,33
1,1,2,2366,12
0,1,0,1835,21
1,0,0,3868,24
1,0,0,1768,12
1,0,0,781,10
1,1,0,2121,12
1,1,0,701,12
0,1,0,639,12
1,1,0,1860,12
0,1,0,3499,12
0,1,0,6887,36
1,1,0,2708,15
1,0,0,1984,18
1,1,1,10144,60
1,1,3,8613,27
0,1,2,766,12
1,0,0,1881,12
1,1,3,709,6
1,1,0,4795,36
1,1,0,3416,27
0,1,0,2462,18
1,1,0,2288,21
1,1,1,3566,48
1,1,0,860,6
1,1,1,682,12
1,1,0,5371,36
1,1,3,1582,18
1,0,1,1346,6
1,1,0,1924,10
1,1,0,5848,36
1,0,3,7758,24
1,0,1,6967,24
0,0,0,1282,12
1,1,1,1288,9
1,1,0,339,12
1,1,1,3512,24
1,1,1,2872,24
1,1,0,1055,18
1,1,2,1262,15
1,0,0,7308,10
1,1,2,909,36
1,1,2,2978,6
0,1,0,1131,18
1,1,3,1577,11
1,0,0,3972,24
0,1,0,1935,24
0,0,0,950,15
1,1,0,763,12
0,1,0,2064,24
1,1,0,1414,8
0,1,0,3414,21
1,1,0,2577,12
1,1,2,338,6
1,0,0,1963,12
1,1,0,571,21
0,1,0,9572,36
0,1,0,4455,36
1,1,3,3777,24
0,1,0,884,18
1,1,0,1360,15
0,0,0,5129,9
1,0,0,1175,16
0,1,1,674,12
1,1,0,3244,18
0,1,3,4591,24
0,0,1,3844,48
0,1,0,3915,27
1,0,0,2108,6
0,0,1,3031,45
0,1,0,1501,9
1,1,0,1382,6
0,0,1,951,12
0,1,0,4297,18
1,1,2,936,9
1,1,0,1168,12
1,1,0,5117,27
0,0,0,902,12
1,1,0,1495,12
1,0,0,10623,30
1,1,0,1935,12
1,1,0,1424,12
1,1,0,6568,24
1,1,3,1413,12
0,1,0,5293,27
0,1,0,1908,30
1,1,0,3104,18
1,1,0,3913,36
1,0,0,3021,24
1,1,0,1364,10
1,1,0,625,12
1,1,0,707,12
1,1,0,4657,15
1,1,0,2613,36
0,1,3,10961,48
0,0,0,7865,12
0,1,0,1478,9
1,0,0,3149,24
0,1,0,4210,36
1,0,2,2507,9
1,1,1,2141,12
1,1,0,866,18
1,1,0,1544,4
0,1,0,1823,24
0,0,1,2767,21
1,1,0,1291,12
1,1,0,2522,30
1,1,0,1595,6
0,0,0,4605,48
1,1,0,1185,12
1,1,2,3447,12
1,1,0,1258,24
1,1,0,717,12
1,0,1,1204,6
1,1,0,1925,24
0,0,0,433,18
1,1,3,666,6
1,1,0,2251,12
0,1,0,2150,30
1,1,1,4151,24
1,1,0,2684,24
0,0,0,2149,12
1,1,1,3812,15
1,1,1,1154,11
1,1,0,1657,12
1,1,0,1603,24
1,0,0,5302,18
1,0,0,2748,12
1,1,0,1231,10
0,1,0,802,15
1,1,0,1533,24
0,1,0,8978,14
1,0,2,1402,12
0,1,0,3060,48
0,1,0,11998,30
1,1,0,2697,9
1,1,0,2404,18
0,1,0,4611,6
1,0,1,1901,24
1,0,3,3368,15
1,1,0,1574,12
1,1,1,3878,24
1,1,0,10722,47
1,1,0,4788,48
1,0,1,7582,48
1,1,0,1092,12
0,1,0,1024,24
1,1,0,1076,12
0,0,0,9398,36
1,0,0,6419,24
1,0,0,4796,42
0,1,0,9960,48
1,1,0,2515,18
1,1,3,2745,21
1,1,0,672,6
0,1,0,3804,36
1,1,0,1038,10
0,0,2,10127,48
1,1,3,1543,6
0,1,1,727,12
0,1,0,1237,8
1,0,0,276,9
1,1,1,5511,24
1,1,0,3749,24
0,1,0,685,12
0,1,0,2746,36
1,1,0,708,12
1,1,0,701,12
1,1,0,3643,15
0,1,0,4249,30
0,1,0,1938,24
1,0,0,2910,24
1,1,3,2659,18
1,1,0,1028,18
1,1,0,3398,8
1,1,3,1525,24
1,1,0,4473,36
1,1,0,1068,6
1,0,0,6615,24
0,1,1,1864,18
0,1,1,7408,60
0,0,1,11590,48
0,0,0,4110,24
0,0,0,3384,6
1,1,0,2101,13
1,1,0,4169,24
1,1,0,1521,10
1,0,0,5743,24
1,0,0,3599,21
1,0,2,3213,18
1,1,0,4439,18
1,1,0,3949,10
1,1,0,1459,15
1,1,0,882,13
1,0,2,3758,24
1,1,1,1743,6
0,0,3,1136,9
1,0,0,1236,9
0,1,0,959,9
0,0,0,6199,12
1,0,2,727,10
0,1,0,1246,24
0,1,0,4463,36
1,1,0,776,12
0,0,0,2406,30
1,1,0,2247,12
1,0,0,1766,6
0,1,0,2473,18
1,1,0,1542,12
1,1,0,3850,18
1,0,0,3650,18
0,1,0,3446,36
1,0,0,3001,18
1,1,0,6070,18
1,0,0,2146,10
0,0,1,14782,60
0,0,0,7685,48
1,1,0,2320,18
0,0,0,14318,36
1,1,1,362,6
0,0,0,12976,18
1,1,0,1330,12
1,1,1,4272,30
1,1,0,2238,18
1,1,0,7374,18
1,1,2,2326,15
1,1,0,1449,9
1,1,0,1820,18
1,0,3,983,12
1,0,0,3249,36
1,1,0,1957,6
1,1,0,2406,9
1,0,1,11760,39
1,0,0,2578,12
1,1,0,2348,36
0,0,0,1223,12
1,1,3,1516,24
1,1,0,1473,18
0,1,0,8648,24
1,1,0,802,14
0,1,0,2039,24
1,1,0,1053,15
1,1,2,3235,24
0,1,2,939,12
1,1,0,1967,24
1,1,0,7253,33
0,1,0,2292,12
1,0,2,1597,10
1,1,0,5842,36
0,1,0,2579,12
1,1,2,2782,21
1,0,3,3186,15
1,1,0,958,12
1,1,1,1591,21
1,0,0,2779,18
1,1,0,2743,28
1,1,3,1149,18
1,1,0,1313,9
0,0,0,1190,18
1,1,0,3448,5
0,1,0,11328,24
1,0,0,1872,6
1,1,0,2058,24
1,1,0,2136,9
1,0,2,660,6
1,1,3,1287,24
1,1,0,3394,42
0,1,0,609,12
1,1,0,1884,12
1,1,0,1620,12
1,1,0,2629,20
0,1,0,719,12
0,1,0,5096,48
0,1,0,1842,36
1,1,0,2576,7
0,1,3,1512,15
1,1,0,518,6
1,1,0,2759,12
1,1,0,2670,24
0,1,0,4817,24
1,1,0,2679,24
1,0,0,3905,11
0,0,0,3386,12
1,1,0,343,6
1,1,0,4594,18
1,1,0,3620,36
1,1,0,1721,15
1,0,0,3017,12
1,1,0,1950,18
1,1,0,2924,24
0,0,0,1659,24
1,1,0,2764,33
1,1,0,4679,24
0,0,1,3092,24
0,1,0,448,6
0,1,0,654,9
0,1,0,1245,18
0,0,0,3114,18
1,1,2,2569,39
1,1,0,5152,24
1,1,1,1037,12
1,1,0,1478,15
1,1,0,3573,12
1,1,0,1201,24
1,0,3,3622,30
1,1,3,960,15
1,1,2,1163,12
0,1,0,1209,6
1,1,0,3077,12
1,0,0,3757,24
1,0,1,1418,10
1,0,0,3518,6
1,1,0,1934,12
0,0,0,8318,27
1,1,1,1237,6
1,0,0,2122,12
0,0,1,9034,36
1,1,0,1585,24
1,1,0,1301,18
1,1,1,1323,6
0,1,0,3123,24
1,0,0,5493,36
1,1,1,1126,9
0,1,1,1216,24
0,0,0,1207,24
1,1,2,2360,15
0,1,1,6850,15
1,1,0,1413,24
1,1,1,8588,39
0,1,0,759,12
1,0,0,4686,36
1,0,0,2687,15
1,0,0,585,12
1,1,0,609,6
1,1,0,1361,6
0,0,0,7127,36
1,1,1,1203,6
1,0,0,5507,24
0,1,0,3190,18
0,0,0,7119,48
1,1,1,3488,24
1,1,0,1113,18
1,1,0,7966,26
1,1,1,1532,15
1,1,0,1503,4
0,0,0,2302,36
1,1,0,662,6
1,1,0,2273,36
0,0,1,2631,15
1,0,0,1503,12
1,1,1,1311,24
0,0,0,2319,21
1,1,0,3612,18
0,0,0,7763,48
1,1,0,3049,18
0,0,0,1534,12
1,0,0,2032,24
0,1,0,2864,18
1,1,0,1255,12
0,0,0,1333,24
1,1,0,2022,24
1,1,0,1552,24
0,1,0,626,12
1,1,2,1750,6
0,1,0,6999,48
1,1,1,1995,12
1,1,0,1199,9
0,1,0,1331,12
0,1,1,2278,18
0,1,0,3552,24
0,1,0,1928,18
0,0,0,1546,24
1,1,0,683,6
1,0,1,1553,24
0,1,0,1372,12
1,1,3,2578,24
0,1,0,6758,48
0,0,0,3234,24
1,1,0,5954,30
1,1,0,806,15
1,1,0,1082,9
1,1,0,2788,15
1,1,0,2930,12
0,1,0,2820,36
1,1,0,937,24
0,1,0,1056,18
1,1,0,3124,12
1,0,0,1388,9
0,0,0,2384,36
0,0,0,2039,18
1,0,0,2799,9
1,1,0,1289,12
0,1,0,1217,18
0,1,0,2246,12
1,1,0,385,12
1,1,3,1572,21
0,0,0,2718,24
0,1,1,931,6
0,0,0,1442,24
0,1,0,4241,24
0,1,0,2775,18
1,0,0,3863,24
1,1,0,2329,7
0,1,0,918,9
0,0,0,1837,24
0,1,0,3349,36
1,1,0,1275,10
1,1,2,2828,24
1,1,0,4526,24
0,0,1,2671,36
1,1,0,2051,18
0,1,1,741,12
0,0,1,1240,10
1,1,3,3357,21
1,0,0,3632,24
0,1,0,1808,18
1,0,0,3676,6
0,0,1,3441,30
1,1,0,640,12
1,1,0,3652,21
0,1,0,1530,18
1,0,0,1858,12
0,0,0,2600,18
1,1,0,2116,6
0,1,1,1437,9
1,1,2,4042,42
1,1,0,3660,24
0,1,0,1553,18
0,0,0,1980,9
0,1,0,1355,24
1,1,0,1393,12
1,1,2,1376,24
1,1,0,15653,60
1,1,0,1493,12
0,1,0,4370,42
0,1,0,750,18
1,1,0,1308,15
0,1,1,4623,15
1,1,0,1851,24
1,1,0,1880,18
1,1,0,4583,30
0,1,2,1386,12
0,0,0,947,24
0,0,0,684,12
1,0,0,7476,48
0,1,0,1922,12
0,1,0,2303,24
0,1,1,8086,36
1,1,0,2346,24
1,0,0,3973,14
0,1,0,888,12
1,1,0,4221,30
1,1,0,6361,18
1,0,0,1297,12
1,1,0,2241,21
1,1,0,1050,6
1,1,0,1047,6
1,1,0,6314,24
1,1,3,3496,30
1,1,0,3609,48
0,0,0,4843,12
1,1,0,3017,30
1,1,1,4139,24
1,1,1,5742,36
1,1,0,10366,60
1,1,2,2080,6
0,1,2,2580,21
1,0,0,4530,30
1,1,0,5150,24
0,1,1,5595,72
1,0,0,2384,24
1,1,0,1453,18
1,1,0,1538,6
1,1,0,1478,15
1,0,0,5103,24
1,1,1,9857,36
1,0,1,2862,36
1,1,1,2753,9
1,1,3,3651,12
1,1,0,975,15
1,1,1,2631,15
1,1,1,2896,24
1,1,0,2284,24
1,0,2,1236,6
1,1,0,1103,12
1,1,0,926,12
1,1,0,1800,18
1,0,0,1905,15
0,0,2,1123,12
0,0,0,6331,48
1,0,1,1377,24
1,1,1,2503,30
1,1,0,2528,27
1,0,2,5324,15
0,1,1,6560,48
0,0,0,2969,12
1,1,0,1206,9
1,1,0,2118,9
1,1,2,629,18
0,0,0,1198,6
1,1,0,1138,9
0,1,0,14027,60
1,0,0,1505,18
1,1,1,6148,20
0,1,0,1337,9
0,0,3,433,6
0,1,0,1228,12
1,1,2,790,9
0,0,0,2570,27
1,1,3,250,6
1,1,2,1316,15
0,0,0,1882,18
0,0,0,6416,48
1,1,3,1275,24
1,1,0,6403,24
0,0,0,1987,24
1,1,0,760,8
1,0,3,2603,24
1,1,0,3380,4
0,0,0,11560,24
1,1,1,4380,18
1,1,0,6761,6
0,0,1,4280,30
1,1,1,2325,24
1,1,0,1048,10
1,1,2,2483,24
1,1,0,1797,13
1,0,0,2511,15
0,1,0,1274,12
1,1,0,3029,15
1,1,0,428,6
0,1,0,976,18
1,0,1,841,12
1,1,0,5771,30
0,0,3,1555,12
1,1,0,1299,6
1,1,0,1393,24
0,1,0,691,12
0,0,0,2124,18
1,1,0,2214,12
1,1,1,2463,24
1,1,0,1155,12
0,1,0,3108,30
1,0,0,3617,12
1,1,0,1655,12
0,1,0,8065,36
1,1,0,3275,21
1,1,1,2223,24
1,0,2,1480,12
1,1,0,3535,36
1,1,0,3509,18
1,1,3,5711,36
1,1,0,3872,18
0,1,0,4933,39
1,1,3,1940,24
1,1,0,1410,12
0,1,1,836,12
1,1,3,1941,18
1,1,2,2675,22
0,0,0,6224,48
0,1,0,5998,40
0,1,0,1188,21
1,0,0,2892,24
1,0,2,3062,24
1,0,1,2301,9
1,0,0,1258,12
1,0,0,1597,24
1,0,0,1795,18
1,1,0,4272,20
0,1,0,9271,36
1,1,0,590,6
1,0,0,9283,42
0,0,0,1778,15
1,1,0,907,8
1,1,0,484,6
0,1,0,9629,36
0,1,0,3051,48
0,0,0,3931,48
1,0,0,7432,36
1,1,2,1338,6
1,0,0,1554,6
1,1,0,15857,36
0,1,0,1345,18
1,1,0,1101,12
1,1,0,3016,12
0,1,0,2712,36
1,1,0,731,8
1,1,0,3780,18
1,1,0,1602,21
0,0,0,3966,18
0,1,0,4165,18
1,1,2,2375,24
0,0,0,1216,18
0,0,0,11816,45
0,1,0,2327,15
0,1,0,1082,12
1,0,0,601,4
1,1,0,2957,24
1,1,0,2611,24
0,1,0,5179,36
1,1,0,2993,21
0,1,0,1943,18
1,1,0,1559,24
1,1,0,3422,18
1,1,0,1249,24
1,1,0,1364,9
0,1,0,709,12
0,0,0,2235,20
1,0,0,1471,15
0,0,0,1442,18
1,1,0,10875,36
1,1,1,1474,24
1,0,0,3343,15
0,1,0,3959,15
1,0,1,3577,9
1,1,3,5804,24
0,1,0,2169,18
0,1,0,2439,24
1,1,3,4526,27
0,0,0,2210,10
1,0,2,2221,15
1,1,0,2389,18
1,1,0,3331,12
1,0,0,652,12
1,1,2,7678,36
1,1,0,1343,6
1,1,1,1382,24
1,1,0,3590,12
1,1,3,1322,11
1,0,0,1940,18
1,1,0,3595,36
0,0,0,1422,9
1,1,0,7814,24
1,1,0,1098,18
0,1,0,4057,24
0,1,0,795,12
0,1,0,15672,48
1,1,0,6614,36
1,1,0,2442,27
1,1,0,1829,15
1,1,0,2171,12
1,1,0,5800,36
1,0,0,2606,21
1,1,3,1592,12
0,1,0,4153,18
0,0,0,2625,16
1,1,0,1278,24
1,0,0,1107,12
1,1,0,3594,15
1,1,0,4454,36
0,1,0,4736,24
1,1,3,2142,11
0,0,0,3161,24
0,1,0,18424,48
1,1,1,2848,10
0,1,0,14896,6
0,1,1,2359,24
0,0,0,3345,24
1,1,0,1817,18
1,1,2,12749,48
0,0,0,1366,9
1,0,0,2002,12
0,1,0,6872,24
0,1,0,697,12
1,0,0,1049,18
0,0,0,10297,48
1,1,0,1344,12
1,1,0,1747,24
0,1,0,1670,9
1,1,0,1224,9
1,1,2,522,12
1,1,0,1498,12
0,1,1,1919,30
0,1,0,745,9
1,0,0,2063,6
0,0,0,6288,60
1,1,0,1546,10
1,1,0,1455,4
1,0,0,1845,15
1,1,2,8358,48
0,0,2,3349,24
0,1,0,1533,18
0,1,1,3621,24
1,1,0,3590,18
0,1,0,2145,36
0,0,2,4113,24
0,1,0,10974,36
1,1,0,1893,12
1,0,3,1231,24
1,1,0,1154,9
0,1,0,4006,28
1,0,1,3069,24
1,0,0,1740,6
1,1,0,2353,21
0,1,2,2397,24
1,1,0,454,6
0,1,2,2520,27
1,0,0,3568,15
1,1,0,3939,11
1,1,1,1514,15
1,1,0,7393,24
0,0,0,1193,24
0,0,0,7297,60
1,1,0,2831,30
1,1,2,1258,24
1,1,0,753,6
0,1,0,2538,24
0,0,1,1264,15
0,1,0,8386,30
0,0,0,4844,48
1,1,1,2923,21
0,1,0,8229,36
1,1,0,2028,24
1,0,0,1433,15
1,1,0,6289,42
1,1,1,1409,13
1,0,0,6579,24
1,1,0,1743,24
1,1,1,1569,15
1,1,0,3959,36
1,1,0,1736,12
1,1,0,3857,30
1,1,0,804,12
0,0,0,1845,45
1,1,1,4576,45
